Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
49,Dewasa,1,Shirt,Clothing,Medium,Nevada,M,Orange,Summer,Poor,Yes,Store Pickup,Yes,Yes,Loyal Customer,Cash,Monthly
50,Tua,1,Hoodie,Clothing,Low,New Jersey,S,Indigo,Spring,Excellent,Yes,Next Day Air,Yes,Yes,Loyal Customer,Debit Card,Bi-Weekly
51,Dewasa,1,Blouse,Clothing,Low,Maryland,M,Red,Spring,Good,Yes,Store Pickup,Yes,Yes,Loyal Customer,Debit Card,Bi-Weekly
52,Tua,1,Skirt,Clothing,Medium,Vermont,XL,Gray,Winter,Excellent,Yes,2-Day Shipping,Yes,Yes,New Customer,Credit Card,Quarterly
53,Dewasa,1,T-shirt,Clothing,Low,Alaska,M,Green,Summer,Poor,Yes,Free Shipping,Yes,Yes,Loyal Customer,Credit Card,Weekly
54,Muda,1,Skirt,Clothing,Low,Mississippi,S,Peach,Winter,Good,Yes,Next Day Air,Yes,Yes,Loyal Customer,Credit Card,Weekly
55,Dewasa,1,Coat,Outerwear,High,New Mexico,M,Brown,Summer,Very Good,Yes,Next Day Air,Yes,Yes,Loyal Customer,Debit Card,Bi-Weekly
56,Dewasa,1,Jacket,Outerwear,Low,South Carolina,M,Lavender,Winter,Poor,Yes,2-Day Shipping,Yes,Yes,Loyal Customer,Credit Card,Annually
57,Dewasa,1,Backpack,Accessories,High,Mississippi,XL,Brown,Summer,Excellent,Yes,Store Pickup,Yes,Yes,Loyal Customer,Credit Card,Weekly
58,Muda,1,Coat,Outerwear,Medium,West Virginia,M,White,Summer,Very Good,Yes,Store Pickup,Yes,Yes,Regular Customer,Debit Card,Fortnightly
59,Tua,1,Hoodie,Clothing,Medium,Missouri,M,Charcoal,Summer,Very Good,Yes,Free Shipping,Yes,Yes,Loyal Customer,Venmo,Monthly
60,Tua,1,Belt,Accessories,High,Louisiana,L,Yellow,Spring,Excellent,Yes,Standard,Yes,Yes,New Customer,Debit Card,Weekly
61,Dewasa,1,Sweater,Clothing,Low,Idaho,L,Brown,Summer,Good,Yes,Express,Yes,Yes,Regular Customer,Cash,Weekly
62,Tua,1,Scarf,Accessories,Medium,Texas,M,Orange,Winter,Excellent,Yes,Store Pickup,Yes,Yes,Regular Customer,Credit Card,Every 3 Months
63,Muda,1,Sneakers,Footwear,Low,Mississippi,S,Magenta,Spring,Good,Yes,Free Shipping,Yes,Yes,Loyal Customer,Credit Card,Fortnightly
64,Dewasa,1,Sunglasses,Accessories,High,Arizona,L,Lavender,Winter,Poor,Yes,2-Day Shipping,Yes,Yes,Loyal Customer,Credit Card,Weekly
65,Tua,1,Boots,Footwear,High,Alabama,S,Green,Fall,Excellent,Yes,Standard,Yes,Yes,Regular Customer,Debit Card,Fortnightly
66,Tua,1,Backpack,Accessories,Low,New Jersey,M,Purple,Spring,Excellent,Yes,2-Day Shipping,Yes,Yes,Loyal Customer,Venmo,Every 3 Months
67,Dewasa,1,Blouse,Clothing,High,Pennsylvania,S,Magenta,Winter,Excellent,Yes,2-Day Shipping,Yes,Yes,New Customer,Venmo,Every 3 Months
68,Dewasa,1,Coat,Outerwear,Low,Connecticut,L,Gray,Winter,Very Good,Yes,Store Pickup,Yes,Yes,Loyal Customer,Debit Card,Monthly
69,Tua,1,Handbag,Accessories,Medium,Utah,L,Silver,Summer,Good,Yes,Next Day Air,Yes,Yes,Regular Customer,Cash,Every 3 Months
70,Dewasa,1,Belt,Accessories,Medium,Tennessee,S,Cyan,Summer,Very Good,Yes,Express,Yes,Yes,New Customer,Cash,Weekly
71,Muda,1,Belt,Accessories,Low,Alabama,M,Magenta,Fall,Very Good,Yes,Express,Yes,Yes,Loyal Customer,Debit Card,Every 3 Months
72,Dewasa,1,Dress,Clothing,Medium,Virginia,L,Gold,Summer,Poor,Yes,Express,Yes,Yes,Loyal Customer,Bank Transfer,Annually
73,Muda,1,Dress,Clothing,Low,Georgia,M,Olive,Winter,Poor,Yes,Store Pickup,Yes,Yes,Regular Customer,Bank Transfer,Every 3 Months
74,Dewasa,1,Pants,Clothing,High,Hawaii,M,Teal,Spring,Poor,Yes,Free Shipping,Yes,Yes,Loyal Customer,Bank Transfer,Bi-Weekly
75,Dewasa,1,Gloves,Accessories,Medium,Indiana,L,Violet,Spring,Very Good,Yes,Express,Yes,Yes,New Customer,Cash,Monthly
76,Tua,1,Scarf,Accessories,High,Utah,M,Blue,Summer,Poor,Yes,Free Shipping,Yes,Yes,Regular Customer,Credit Card,Annually
77,Dewasa,1,Hat,Accessories,Medium,Delaware,S,Teal,Summer,Very Good,Yes,Free Shipping,Yes,Yes,Loyal Customer,Venmo,Monthly
78,Muda,1,Dress,Clothing,Medium,Delaware,L,Gold,Summer,Fair,Yes,Next Day Air,Yes,Yes,Loyal Customer,Debit Card,Fortnightly
79,Dewasa,1,Skirt,Clothing,High,Nebraska,M,Maroon,Spring,Excellent,Yes,Free Shipping,Yes,Yes,Loyal Customer,Venmo,Fortnightly
80,Dewasa,1,Jacket,Outerwear,High,Iowa,M,Olive,Winter,Poor,Yes,2-Day Shipping,Yes,Yes,Loyal Customer,Bank Transfer,Every 3 Months
81,Muda,1,Sandals,Footwear,High,New York,XL,Blue,Summer,Fair,Yes,Store Pickup,Yes,Yes,Regular Customer,Credit Card,Every 3 Months
82,Tua,1,Shoes,Footwear,High,Virginia,L,Maroon,Summer,Poor,Yes,Express,Yes,Yes,Loyal Customer,Credit Card,Every 3 Months
83,Muda,1,Pants,Clothing,Low,Georgia,S,Olive,Spring,Good,Yes,2-Day Shipping,Yes,Yes,Regular Customer,Credit Card,Every 3 Months
84,Dewasa,1,Dress,Clothing,Low,Texas,M,Turquoise,Summer,Very Good,Yes,Standard,Yes,Yes,Loyal Customer,Bank Transfer,Weekly
85,Tua,1,Coat,Outerwear,Low,Arizona,S,Peach,Spring,Very Good,Yes,Standard,Yes,Yes,Loyal Customer,Bank Transfer,Every 3 Months
86,Tua,1,Sunglasses,Accessories,High,New Mexico,M,Charcoal,Winter,Very Good,Yes,Next Day Air,Yes,Yes,New Customer,Debit Card,Bi-Weekly
87,Muda,1,Hoodie,Clothing,Medium,Nevada,L,Pink,Spring,Good,Yes,2-Day Shipping,Yes,Yes,Loyal Customer,Cash,Bi-Weekly
88,Tua,1,Shoes,Footwear,Medium,Ohio,M,Green,Fall,Good,Yes,2-Day Shipping,Yes,Yes,Loyal Customer,Debit Card,Fortnightly
89,Dewasa,1,T-shirt,Clothing,Medium,Wyoming,M,Orange,Fall,Fair,Yes,Free Shipping,Yes,Yes,Loyal Customer,Credit Card,Monthly
90,Dewasa,1,Jacket,Outerwear,High,California,XL,Pink,Fall,Good,Yes,Next Day Air,Yes,Yes,Regular Customer,Cash,Quarterly
91,Muda,1,Hat,Accessories,Medium,South Carolina,L,Violet,Summer,Poor,Yes,Express,Yes,Yes,Loyal Customer,Credit Card,Monthly
92,Dewasa,1,Scarf,Accessories,High,South Carolina,S,Green,Winter,Excellent,Yes,Standard,Yes,Yes,Regular Customer,Credit Card,Every 3 Months
93,Tua,1,Jacket,Outerwear,High,Texas,M,Olive,Winter,Very Good,Yes,2-Day Shipping,Yes,Yes,Regular Customer,Venmo,Every 3 Months
94,Dewasa,1,Sweater,Clothing,Medium,Florida,M,Purple,Fall,Very Good,Yes,Standard,Yes,Yes,Loyal Customer,Credit Card,Weekly
95,Tua,1,Skirt,Clothing,High,Nevada,S,Silver,Spring,Excellent,Yes,Free Shipping,Yes,Yes,Loyal Customer,Credit Card,Weekly
96,Dewasa,1,Sneakers,Footwear,High,Missouri,L,Pink,Fall,Good,Yes,Free Shipping,Yes,Yes,Loyal Customer,PayPal,Monthly
97,Dewasa,1,Gloves,Accessories,High,Delaware,S,Gold,Spring,Good,Yes,Express,Yes,Yes,Loyal Customer,Venmo,Every 3 Months
98,Muda,1,Shoes,Footwear,High,Virginia,M,Teal,Winter,Excellent,Yes,Store Pickup,Yes,Yes,Loyal Customer,Cash,Annually
99,Muda,1,Jeans,Clothing,Medium,New York,XL,Teal,Spring,Poor,Yes,Next Day Air,Yes,Yes,Regular Customer,Bank Transfer,Annually
100,Muda,1,Hoodie,Clothing,Low,Missouri,XL,Indigo,Summer,Good,Yes,Express,Yes,Yes,Loyal Customer,Debit Card,Quarterly
101,Tua,1,Sunglasses,Accessories,High,South Dakota,M,Maroon,Fall,Poor,Yes,Express,Yes,Yes,Loyal Customer,Cash,Fortnightly
102,Muda,1,Coat,Outerwear,High,North Dakota,XL,White,Spring,Excellent,Yes,Express,Yes,Yes,Loyal Customer,Credit Card,Bi-Weekly
103,Tua,1,Socks,Clothing,Medium,Oklahoma,L,Violet,Winter,Excellent,Yes,Next Day Air,Yes,Yes,Loyal Customer,Credit Card,Quarterly
104,Tua,1,Boots,Footwear,High,West Virginia,L,Red,Winter,Good,Yes,Next Day Air,Yes,Yes,Regular Customer,Venmo,Bi-Weekly
105,Tua,1,Sunglasses,Accessories,Low,New Hampshire,L,Pink,Spring,Very Good,Yes,2-Day Shipping,Yes,Yes,New Customer,PayPal,Monthly
106,Tua,1,Backpack,Accessories,High,New York,M,Charcoal,Fall,Good,Yes,Next Day Air,Yes,Yes,New Customer,Bank Transfer,Annually
107,Tua,1,Jacket,Outerwear,Low,Minnesota,L,White,Summer,Good,Yes,Standard,Yes,Yes,Loyal Customer,Credit Card,Monthly
108,Muda,1,Sneakers,Footwear,Medium,Maryland,L,Olive,Winter,Fair,Yes,Next Day Air,Yes,Yes,Loyal Customer,PayPal,Fortnightly
109,Tua,1,Socks,Clothing,High,Montana,L,Purple,Spring,Fair,Yes,Next Day Air,Yes,Yes,Loyal Customer,Bank Transfer,Bi-Weekly
110,Tua,1,T-shirt,Clothing,High,Alabama,M,Violet,Spring,Poor,Yes,Next Day Air,Yes,Yes,Loyal Customer,Bank Transfer,Fortnightly
111,Tua,1,Backpack,Accessories,Low,New York,M,Black,Summer,Good,Yes,Standard,Yes,Yes,Loyal Customer,Venmo,Fortnightly
112,Muda,1,Belt,Accessories,High,Massachusetts,L,Purple,Summer,Excellent,Yes,Free Shipping,Yes,Yes,New Customer,Credit Card,Annually
113,Dewasa,1,Gloves,Accessories,Medium,Florida,M,Red,Spring,Very Good,Yes,Free Shipping,Yes,Yes,Loyal Customer,PayPal,Bi-Weekly
114,Dewasa,1,Hat,Accessories,Medium,New Jersey,L,Maroon,Winter,Fair,Yes,Next Day Air,Yes,Yes,Regular Customer,PayPal,Quarterly
115,Tua,1,Coat,Outerwear,High,Massachusetts,S,Blue,Summer,Good,Yes,Store Pickup,Yes,Yes,New Customer,Cash,Weekly
116,Tua,1,Skirt,Clothing,High,Wyoming,M,Gray,Spring,Good,Yes,Standard,Yes,Yes,Loyal Customer,Debit Card,Every 3 Months
117,Tua,1,Shoes,Footwear,High,Virginia,S,Blue,Spring,Fair,Yes,Free Shipping,Yes,Yes,Regular Customer,Venmo,Annually
118,Dewasa,1,Sandals,Footwear,Low,South Dakota,L,Yellow,Summer,Excellent,Yes,Express,Yes,Yes,Loyal Customer,Cash,Fortnightly
119,Dewasa,1,Sweater,Clothing,Medium,Kentucky,L,Orange,Fall,Excellent,Yes,2-Day Shipping,Yes,Yes,Loyal Customer,Cash,Bi-Weekly
120,Dewasa,1,Coat,Outerwear,High,Wyoming,M,Orange,Fall,Very Good,Yes,Express,Yes,Yes,Loyal Customer,Cash,Annually
121,Tua,1,Hat,Accessories,High,West Virginia,L,Red,Summer,Good,Yes,Express,Yes,Yes,Loyal Customer,Bank Transfer,Annually
122,Muda,1,Shorts,Clothing,High,Virginia,M,Olive,Winter,Very Good,Yes,Standard,Yes,Yes,Regular Customer,Cash,Fortnightly
123,Dewasa,1,Backpack,Accessories,Low,Washington,L,Brown,Spring,Excellent,Yes,2-Day Shipping,Yes,Yes,Loyal Customer,Cash,Fortnightly
124,Tua,1,Sweater,Clothing,High,Louisiana,L,Brown,Fall,Fair,Yes,Free Shipping,Yes,Yes,Loyal Customer,Cash,Weekly
125,Dewasa,1,Sweater,Clothing,High,Nevada,M,Gray,Spring,Fair,Yes,Next Day Air,Yes,Yes,Loyal Customer,PayPal,Annually
126,Dewasa,1,Shorts,Clothing,Medium,California,M,Indigo,Winter,Good,Yes,Next Day Air,Yes,Yes,Loyal Customer,Venmo,Every 3 Months
127,Dewasa,1,Shorts,Clothing,Low,Mississippi,L,Pink,Spring,Good,Yes,Store Pickup,Yes,Yes,Loyal Customer,Cash,Every 3 Months
128,Muda,1,Sweater,Clothing,High,Mississippi,M,Gray,Winter,Excellent,Yes,Next Day Air,Yes,Yes,Loyal Customer,Credit Card,Weekly
129,Muda,1,Scarf,Accessories,Low,California,M,Gold,Spring,Excellent,Yes,Standard,Yes,Yes,Regular Customer,Credit Card,Fortnightly
130,Muda,1,Dress,Clothing,Medium,Pennsylvania,XL,Olive,Summer,Very Good,Yes,2-Day Shipping,Yes,Yes,Loyal Customer,PayPal,Bi-Weekly
131,Dewasa,1,Scarf,Accessories,Low,Kentucky,L,Violet,Fall,Good,Yes,Next Day Air,Yes,Yes,Regular Customer,PayPal,Fortnightly
132,Muda,1,Skirt,Clothing,Low,Maine,L,Indigo,Summer,Good,Yes,Standard,Yes,Yes,Loyal Customer,Credit Card,Weekly
133,Muda,1,Backpack,Accessories,Medium,New Mexico,M,Orange,Fall,Excellent,Yes,2-Day Shipping,Yes,Yes,Loyal Customer,PayPal,Weekly
134,Tua,1,Sweater,Clothing,Medium,Montana,M,Violet,Winter,Poor,Yes,Next Day Air,Yes,Yes,Regular Customer,Venmo,Annually
135,Dewasa,1,Hat,Accessories,High,Texas,L,Gray,Fall,Excellent,Yes,Store Pickup,Yes,Yes,Regular Customer,Cash,Monthly
136,Dewasa,1,Sandals,Footwear,High,Kansas,M,Purple,Fall,Very Good,Yes,Express,Yes,Yes,Regular Customer,PayPal,Quarterly
137,Dewasa,1,Blouse,Clothing,High,South Carolina,M,White,Winter,Fair,Yes,Free Shipping,Yes,Yes,New Customer,Debit Card,Quarterly
138,Tua,1,Sneakers,Footwear,Medium,Colorado,M,Turquoise,Spring,Excellent,Yes,Free Shipping,Yes,Yes,Loyal Customer,PayPal,Weekly
139,Tua,1,Skirt,Clothing,Low,Georgia,M,Maroon,Winter,Very Good,Yes,Store Pickup,Yes,Yes,Loyal Customer,Bank Transfer,Weekly
140,Dewasa,1,Coat,Outerwear,High,Florida,M,White,Fall,Good,Yes,Store Pickup,Yes,Yes,Loyal Customer,Venmo,Annually
141,Tua,1,Shirt,Clothing,Low,North Carolina,L,Yellow,Fall,Good,Yes,2-Day Shipping,Yes,Yes,Loyal Customer,Credit Card,Weekly
142,Tua,1,Gloves,Accessories,Medium,Virginia,M,Turquoise,Fall,Excellent,Yes,Free Shipping,Yes,Yes,Loyal Customer,PayPal,Weekly
143,Dewasa,1,Jacket,Outerwear,Medium,Nebraska,L,Violet,Fall,Fair,Yes,Free Shipping,Yes,Yes,Loyal Customer,Credit Card,Fortnightly
144,Muda,1,Coat,Outerwear,Medium,Missouri,M,Beige,Fall,Poor,Yes,Store Pickup,Yes,Yes,Regular Customer,PayPal,Quarterly
145,Muda,1,Shoes,Footwear,Medium,New Jersey,M,Silver,Fall,Fair,Yes,Express,Yes,Yes,Regular Customer,Cash,Monthly
146,Muda,1,Jewelry,Accessories,High,Missouri,M,Teal,Fall,Very Good,Yes,Standard,Yes,Yes,Loyal Customer,Debit Card,Quarterly
147,Tua,1,Skirt,Clothing,Low,Colorado,S,Black,Fall,Good,Yes,Standard,Yes,Yes,Regular Customer,Venmo,Fortnightly
148,Tua,1,Shoes,Footwear,Medium,Idaho,M,Purple,Summer,Fair,Yes,2-Day Shipping,Yes,Yes,Loyal Customer,Bank Transfer,Fortnightly
149,Dewasa,1,Gloves,Accessories,High,Wyoming,M,Gray,Fall,Poor,Yes,Store Pickup,Yes,Yes,Loyal Customer,Debit Card,Annually
150,Dewasa,1,Pants,Clothing,High,Delaware,M,White,Summer,Fair,Yes,Free Shipping,Yes,Yes,Regular Customer,PayPal,Monthly
151,Dewasa,1,Boots,Footwear,High,California,L,Cyan,Fall,Excellent,Yes,Standard,Yes,Yes,Regular Customer,Debit Card,Every 3 Months
152,Muda,1,Sunglasses,Accessories,Medium,North Dakota,L,Turquoise,Fall,Very Good,Yes,Next Day Air,Yes,Yes,New Customer,Venmo,Annually
153,Muda,1,Shirt,Clothing,High,South Carolina,S,Brown,Summer,Very Good,Yes,Express,Yes,Yes,Loyal Customer,Venmo,Annually
154,Tua,1,Hoodie,Clothing,Medium,North Carolina,M,Maroon,Winter,Fair,Yes,Standard,Yes,Yes,Regular Customer,Debit Card,Annually
155,Dewasa,1,Dress,Clothing,High,Oklahoma,M,Charcoal,Fall,Good,Yes,Next Day Air,Yes,Yes,Regular Customer,Venmo,Quarterly
156,Tua,1,Socks,Clothing,High,Maine,S,Olive,Spring,Very Good,Yes,Free Shipping,Yes,Yes,Regular Customer,Bank Transfer,Quarterly
157,Dewasa,1,Shorts,Clothing,Low,Missouri,M,Lavender,Fall,Good,Yes,Standard,Yes,Yes,Loyal Customer,Debit Card,Annually
158,Dewasa,1,Hat,Accessories,Medium,Vermont,S,Yellow,Fall,Poor,Yes,Next Day Air,Yes,Yes,New Customer,Bank Transfer,Fortnightly
159,Muda,1,Shirt,Clothing,High,Connecticut,XL,Teal,Fall,Very Good,Yes,Standard,Yes,Yes,Loyal Customer,Bank Transfer,Monthly
160,Tua,1,Gloves,Accessories,Low,New Hampshire,M,Charcoal,Fall,Good,Yes,Store Pickup,Yes,Yes,Loyal Customer,Bank Transfer,Every 3 Months
161,Muda,1,Gloves,Accessories,Low,Texas,M,Orange,Summer,Excellent,Yes,Free Shipping,Yes,Yes,Loyal Customer,Venmo,Monthly
162,Tua,1,Backpack,Accessories,Medium,North Dakota,M,Olive,Fall,Poor,Yes,Express,Yes,Yes,Loyal Customer,Venmo,Fortnightly
163,Tua,1,Sunglasses,Accessories,High,California,M,Turquoise,Summer,Poor,Yes,Store Pickup,Yes,Yes,Loyal Customer,PayPal,Bi-Weekly
164,Tua,1,Skirt,Clothing,Medium,Virginia,M,Purple,Summer,Fair,Yes,Standard,Yes,Yes,New Customer,Debit Card,Weekly
165,Tua,1,Handbag,Accessories,Medium,Delaware,S,Purple,Spring,Poor,Yes,Free Shipping,Yes,Yes,New Customer,Credit Card,Fortnightly
166,Dewasa,1,Handbag,Accessories,Medium,Kentucky,S,Yellow,Winter,Poor,Yes,Store Pickup,Yes,Yes,New Customer,Cash,Monthly
167,Dewasa,1,Sneakers,Footwear,Low,Delaware,XL,Indigo,Fall,Good,Yes,Store Pickup,Yes,Yes,Loyal Customer,Cash,Monthly
168,Dewasa,1,Gloves,Accessories,Low,Arkansas,M,Green,Fall,Good,Yes,Express,Yes,Yes,Regular Customer,Credit Card,Every 3 Months
169,Dewasa,1,Shoes,Footwear,High,Louisiana,M,Magenta,Summer,Poor,Yes,Express,Yes,Yes,New Customer,Cash,Fortnightly
170,Muda,1,Jacket,Outerwear,Low,Nevada,S,Gold,Summer,Fair,Yes,Standard,Yes,Yes,New Customer,PayPal,Every 3 Months
171,Tua,1,Shirt,Clothing,Low,Wyoming,M,Maroon,Fall,Poor,Yes,Store Pickup,Yes,Yes,Loyal Customer,Venmo,Bi-Weekly
172,Muda,1,Shorts,Clothing,Low,Virginia,M,Blue,Summer,Good,Yes,Store Pickup,Yes,Yes,New Customer,Credit Card,Weekly
173,Tua,1,Jewelry,Accessories,Medium,Nebraska,M,Violet,Summer,Good,Yes,Next Day Air,Yes,Yes,Loyal Customer,Credit Card,Bi-Weekly
174,Muda,1,Hat,Accessories,Medium,Hawaii,M,Turquoise,Fall,Fair,Yes,Standard,Yes,Yes,Loyal Customer,Cash,Annually
175,Dewasa,1,Shoes,Footwear,Low,Vermont,L,Brown,Winter,Fair,Yes,Express,Yes,Yes,Loyal Customer,Venmo,Annually
